#Table1
z,zErr,petroMag_g,petroMagErr_g,ra,dec,bestObjID
0.371982,3.486819E-05,18.41483,0.007477269,246.81972335901,22.2247712139905,1237662225702060139
0.3193617,6.261011E-05,19.02901,0.01272008,241.943800800472,9.02156008855453,1237662637986873509
0.3012668,7.946468E-05,18.55421,0.01811744,232.801853927963,28.2269131835606,1237662661603491860
0.37684,3.523054E-05,18.50298,0.007154872,232.358444724493,27.2298782634348,1237662697034612740
0.3959918,4.750736E-05,19.8902,0.02987093,54.1142931337858,0.0786076880147512,1237663238740705448
0.3027276,1.988549E-05,20.02995,0.02531892,35.3763636977321,0.547353940717974,1237663239269384389
0.392216,4.460803E-05,21.56607,0.114912,342.704402621276,0.0729421865435117,1237663479262872139
0.3473462,5.237399E-05,20.20015,0.1162167,335.748276872733,0.871958538172926,1237663480333599053
0.3025017,7.406867E-05,20.47124,0.06532761,342.119029668276,1.02103358666786,1237663480336351892
0.3932386,5.185568E-05,21.09929,0.07118101,123.412489486125,52.6760055335242,1237663530795860394
0.368375,8.464784E-05,20.69435,0.07875966,340.620832792799,-0.0615352697669416,1237663543150641498
0.303026,4.325648E-05,19.37467,0.03276717,141.689948751846,-0.1868593924217,1237648721213980829
0.3449105,5.437472E-05,18.49637,0.008121974,154.359635248295,-0.164217092623191,1237648721219485758
0.3572268,4.988676E-05,20.83253,0.04883454,208.869744021379,0.815490894234116,1237648722317082960
0.3310362,4.182055E-05,20.55035,0.115449,61.2805788981272,-6.57475273006997,1237649961386311998
0.3761071,3.419806E-05,20.35218,0.04085115,135.18261135527,54.191491078299,1237651191359471619
0.3330912,9.482669E-05,21.67555,0.113647,242.849123014559,49.1832428217982,1237651251513655754
0.3751829,7.821951E-05,21.75698,0.1497566,140.091768827423,59.3691421093632,1237651272428159505
0.3927166,5.136746E-05,20.75525,0.0626381,242.97911558341,52.4607438427349,1237651539262767480
0.3054427,4.032488E-05,20.29063,0.04257483,238.967358837131,3.03105835852051,1237651822719402496
0.3249717,3.175945E-05,19.07351,0.01644535,315.535560173738,-6.75052311050938,1237652599562698834
0.3461932,3.854918E-05,20.69618,0.05394628,158.604754395584,58.5807021722728,1237653616396730554
0.386423,5.744937E-05,19.12633,0.01705247,161.407513851851,1.3427318528573,1237654028713525386
0.3291089,4.469461E-05,19.58907,0.04747225,135.782665457884,2.19781617878056,1237654599946535286
0.3811114,5.213329E-05,19.29635,0.02051681,143.538235031684,2.5436352109436,1237654599949942970
0.384829,0.0001382505,19.45291,0.01960038,148.891594856713,4.59622716048028,1237654602099785843
0.3834846,8.083057E-05,18.99767,0.01379912,183.896411524466,5.83350507624504,1237654606409891846
